t		 x		 v		 cos(t)		 de
 0.00000000E+00  1.00000000E+00  0.00000000E+00  1.00000000E+00  0.00000000E+00
 1.29550213E-01  9.93012844E-01 -1.29278428E-01  9.91620101E-01  1.39371047E-03
 2.59100425E-01  9.69361597E-01 -2.56750279E-01  9.66620850E-01  2.79130580E-03
 3.88650638E-01  9.29396244E-01 -3.80273869E-01  9.25421230E-01  4.19279682E-03
 5.18200850E-01  8.73741200E-01 -4.97767722E-01  8.68711737E-01  5.59819438E-03
 6.47751063E-01  8.03285605E-01 -6.07245630E-01  7.97442811E-01  7.00750938E-03
 7.77301275E-01  7.19169163E-01 -7.06850211E-01  7.12808905E-01  8.42075273E-03
 9.06851488E-01  6.22763732E-01 -7.94884397E-01  6.16228466E-01  9.83793538E-03
 1.03640170E+00  5.15650979E-01 -8.69840333E-01  5.09320162E-01  1.12590683E-02
 1.16595191E+00  3.99596455E-01 -9.30425171E-01  3.93875756E-01  1.26841626E-02
 1.29550213E+00  2.76520508E-01 -9.75583347E-01  2.71830072E-01  1.41132291E-02
 1.42505234E+00  1.48466535E-01 -1.00451493E+00  1.45228571E-01  1.55462791E-02
 1.55460255E+00  1.75670647E-02 -1.01668975E+00  1.61930688E-02  1.69833236E-02
 1.68415276E+00 -1.13991732E-01 -1.01185702E+00 -1.13113826E-01  1.84243738E-02
 1.81370298E+00 -2.44006539E-01 -9.90050347E-01 -2.40524956E-01  1.98694407E-02
 1.94325319E+00 -3.70293780E-01 -9.51587930E-01 -3.63904937E-01  2.13185357E-02
 2.07280340E+00 -4.90726272E-01 -8.97068039E-01 -4.81185944E-01  2.27716699E-02
 2.20235361E+00 -6.03269037E-01 -8.27359763E-01 -5.90402373E-01  2.42288546E-02
 2.33190383E+00 -7.06013672E-01 -7.43589199E-01 -6.89723777E-01  2.56901011E-02
 2.46145404E+00 -7.97210687E-01 -6.47121288E-01 -7.77485551E-01  2.71554207E-02
 2.59100425E+00 -8.75299275E-01 -5.39537606E-01 -8.52216824E-01  2.86248247E-02
 2.72055446E+00 -9.38933997E-01 -4.22610458E-01 -9.12665115E-01  3.00983246E-02
 2.85010468E+00 -9.87007934E-01 -2.98273702E-01 -9.57817324E-01  3.15759318E-02
 2.97965489E+00 -1.01867191E+00 -1.68590783E-01 -9.86916709E-01  3.30576577E-02
 3.10920510E+00 -1.03334944E+00 -3.57205091E-02 -9.99475569E-01  3.45435138E-02
 3.23875531E+00 -1.03074716E+00  9.81188675E-02 -9.95283421E-01  3.60335116E-02
 3.36830553E+00 -1.01086052E+00  2.30686669E-01 -9.74410525E-01  3.75276626E-02
 3.49785574E+00 -9.73974668E-01  3.59757284E-01 -9.37206705E-01  3.90259785E-02
 3.62740595E+00 -9.20660499E-01  4.83157518E-01 -8.84295491E-01  4.05284708E-02
 3.75695616E+00 -8.51765856E-01  5.98803163E-01 -8.16563663E-01  4.20351511E-02
 3.88650638E+00 -7.68402104E-01  7.04734183E-01 -7.35146394E-01  4.35460313E-02
 4.01605659E+00 -6.71926231E-01  7.99147912E-01 -6.41408220E-01  4.50611229E-02
 4.14560680E+00 -5.63918792E-01  8.80429708E-01 -5.36920174E-01  4.65804377E-02
 4.27515701E+00 -4.46158035E-01  9.47180544E-01 -4.23433454E-01  4.81039874E-02
 4.40470723E+00 -3.20590647E-01  9.98241055E-01 -3.02850076E-01  4.96317840E-02
 4.53425744E+00 -1.89299596E-01  1.03271164E+00 -1.77190992E-01  5.11638391E-02
 4.66380765E+00 -5.44695920E-02  1.04996828E+00 -4.85622221E-02  5.27001647E-02
 4.79335786E+00  8.16492447E-02  1.04967373E+00  8.08804404E-02  5.42407727E-02
 4.92290808E+00  2.16778919E-01  1.03178401E+00  2.08967563E-01  5.57856751E-02
 5.05245829E+00  3.48651666E-01  9.96549940E-01  3.33552432E-01  5.73348837E-02
 5.18200850E+00  4.75047993E-01  9.44513751E-01  4.52547029E-01  5.88884106E-02
 5.31155871E+00  5.93834012E-01  8.76500828E-01  5.63957030E-01  6.04462679E-02
